"District..","School..","District.x","School","BlackEnrollment","WhiteEnrollment","HispanicEnrollment","TotalEnrollment","PercentBlack","PercentWhite","District.Name","Discipline.School.Name","BlackStudentsPunished","WhiteStudentsPunished","HispanicStudentsPunished","TotalPunished","BlackStudentsPercentOfPunished","District.y","School.Name","White","Black.or.African.American","Hispanic.Latino","Asian","American.Indian.or.Alaska.Native","Native.Hawaiian.or.Other.Pacific.Islander","Two.or.More.Races","TotalTeachers","PercentWhiteTeachers","PercentOfBlackStudentsPunished","PercentOfWhiteStudentsPunished","PercentOfNonBlackStudentsPunished","PunishmentDisparityBlackVsWhite","PunishmentDisparityBlackVsNonBlack","PunishmentDisproportion","TeacherStudentRatio"
11,421,"COLLIER","MANATEE ELEMENTARY SCHOOL",186,50,445,681,0.273127753303965,0.0734214390602056,"COLLIER","MANATEE ELEMENTARY SCHOOL",6,0,11,18,0.333333333333333,"COLLIER","MANATEE ELEMENTARY SCHOOL",48,0,8,0,0,0,0,56,0.857142857142857,0.032258064516129,0,0.026431718061674,0.032258064516129,0.00582634645445502,-0.0602055800293685,0.0822320117474303
11,422,"COLLIER","MANATEE MIDDLE SCHOOL",244,72,570,886,0.275395033860045,0.0812641083521445,"COLLIER","MANATEE MIDDLE SCHOOL",46,16,63,127,0.362204724409449,"COLLIER","MANATEE MIDDLE SCHOOL",43,3,6,0,0,1,0,53,0.811320754716981,0.188524590163934,0.222222222222222,0.14334085778781,-0.0336976320582878,0.045183732376124,-0.0868096905494037,0.0598194130925508
11,441,"COLLIER","CORKSCREW ELEMENTARY SCHOOL",20,335,234,589,0.033955857385399,0.568760611205433,"COLLIER","CORKSCREW ELEMENTARY SCHOOL",2,17,11,31,0.0645161290322581,"COLLIER","CORKSCREW ELEMENTARY SCHOOL",34,1,8,0,0,0,2,45,0.755555555555556,0.1,0.0507462686567164,0.0526315789473684,0.0492537313432836,0.0473684210526316,-0.0305602716468591,0.0764006791171477
11,442,"COLLIER","CORKSCREW MIDDLE SCHOOL",45,287,360,692,0.065028901734104,0.414739884393064,"COLLIER","CORKSCREW MIDDLE SCHOOL",10,41,45,102,0.0980392156862745,"COLLIER","CORKSCREW MIDDLE SCHOOL",36,1,1,0,0,0,1,39,0.923076923076923,0.222222222222222,0.142857142857143,0.147398843930636,0.0793650793650794,0.0748233782915864,-0.0330103139521705,0.0563583815028902
11,452,"COLLIER","NORTH NAPLES MIDDLE SCHOOL",42,554,213,820,0.0512195121951219,0.675609756097561,"COLLIER","NORTH NAPLES MIDDLE SCHOOL",18,90,59,170,0.105882352941176,"COLLIER","NORTH NAPLES MIDDLE SCHOOL",42,1,2,1,0,1,0,47,0.893617021276596,0.428571428571429,0.162454873646209,0.207317073170732,0.266116554925219,0.221254355400697,-0.0546628407460545,0.0573170731707317
11,461,"COLLIER","CALUSA PARK ELEMENTARY SCHOOL",114,209,380,703,0.162162162162162,0.297297297297297,"COLLIER","CALUSA PARK ELEMENTARY SCHOOL",9,5,9,25,0.36,"COLLIER","CALUSA PARK ELEMENTARY SCHOOL",46,0,4,0,0,0,0,50,0.92,0.0789473684210526,0.0239234449760766,0.0355618776671408,0.0550239234449761,0.0433854907539118,-0.197837837837838,0.0711237553342817
11,472,"COLLIER","CYPRESS PALM MIDDLE SCHOOL",64,288,354,716,0.0893854748603352,0.402234636871508,"COLLIER","CYPRESS PALM MIDDLE SCHOOL",32,71,121,242,0.132231404958678,"COLLIER","CYPRESS PALM MIDDLE SCHOOL",39,0,5,0,0,0,2,46,0.847826086956522,0.5,0.246527777777778,0.337988826815642,0.253472222222222,0.162011173184358,-0.0428459300983425,0.0642458100558659
11,493,"COLLIER","PALMETTO RIDGE HIGH SCHOOL",157,852,800,1889,0.0831127580730545,0.451032292218105,"COLLIER","PALMETTO RIDGE HIGH SCHOOL",36,192,141,389,0.0925449871465296,"COLLIER","PALMETTO RIDGE HIGH SCHOOL",84,2,5,2,1,0,0,94,0.893617021276596,0.229299363057325,0.225352112676056,0.205929062996294,0.0039472503812685,0.0233703000610305,-0.00943222907347503,0.0497617787188989
11,501,"COLLIER","GOLDEN GATE HIGH SCHOOL",348,215,1169,1752,0.198630136986301,0.122716894977169,"COLLIER","GOLDEN GATE HIGH SCHOOL",115,65,282,474,0.242616033755274,"COLLIER","GOLDEN GATE HIGH SCHOOL",59,3,17,2,0,0,3,84,0.702380952380952,0.330459770114943,0.302325581395349,0.270547945205479,0.0281341887195937,0.0599118249094631,-0.0439858967689729,0.0479452054794521
11,511,"COLLIER","ESTATES ELEMENTARY SCHOOL",36,146,355,537,0.0670391061452514,0.271880819366853,"COLLIER","ESTATES ELEMENTARY SCHOOL",2,10,8,21,0.0952380952380952,"COLLIER","ESTATES ELEMENTARY SCHOOL",23,2,13,1,0,0,1,40,0.575,0.0555555555555556,0.0684931506849315,0.0391061452513966,-0.012937595129376,0.0164494103041589,-0.0281989890928438,0.074487895716946
11,521,"COLLIER","VETERANS MEMORIAL ELEMENTARY SCHOOL",21,510,208,739,0.0284167794316644,0.690121786197564,"COLLIER","VETERANS MEMORIAL ELEMENTARY SCHOOL",0,0,0,0,NA,"COLLIER","VETERANS MEMORIAL ELEMENTARY SCHOOL",49,0,4,0,0,0,1,54,0.907407407407407,0,0,0,0,0,NA,0.0730717185385656
11,531,"COLLIER","MIKE DAVIS ELEMENTARY SCHOOL",190,11,477,678,0.28023598820059,0.0162241887905605,"COLLIER","MIKE DAVIS ELEMENTARY SCHOOL",20,1,14,36,0.555555555555556,"COLLIER","MIKE DAVIS ELEMENTARY SCHOOL",44,1,8,0,0,0,0,53,0.830188679245283,0.105263157894737,0.0909090909090909,0.0530973451327434,0.0143540669856459,0.0521658127619935,-0.275319567354966,0.0781710914454277
11,541,"COLLIER","PALMETTO ELEMENTARY SCHOOL",14,177,297,488,0.0286885245901639,0.362704918032787,"COLLIER","PALMETTO ELEMENTARY SCHOOL",3,7,9,20,0.15,"COLLIER","PALMETTO ELEMENTARY SCHOOL",32,1,1,0,1,0,0,35,0.914285714285714,0.214285714285714,0.0395480225988701,0.040983606557377,0.174737691686844,0.173302107728337,-0.121311475409836,0.0717213114754098
