Dist #,District,Schl #,School Name,White,Black or African-American,Hispanic/Latino,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Two or More Races
05,BREVARD,0302,SPACE COAST JUNIOR/SENIOR HIGH SCHOOL,72,3,3,1,0,0,1
05,BREVARD,1002,BREVARD GROUP TREATMENT HOME,2,0,0,0,0,0,0
05,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL,54,5,7,1,0,0,3
05,BREVARD,1012,CENTRAL AREA ADULT EDUCATION DAY-PROGRAM,0,1,1,0,0,0,0
05,BREVARD,1017,NORTH/CENTRAL AREA ALTERNATIVE LEARNING CENTER,8,0,0,0,0,0,0
05,BREVARD,1018,SOUTH AREA ALTERNATIVE LEARNING CENTER,4,3,1,0,0,0,0
05,BREVARD,1020,OUTWARD BOUND,1,0,0,0,0,0,0
05,BREVARD,1021,PRE-K ESE SERVICES,17,0,0,0,0,0,0
05,BREVARD,1025,BREVARD COUNTY JUVENILE DETENTION CENTER,2,0,0,0,0,0,0
05,BREVARD,1027,MELBOURNE CENTER FOR PERSONAL GROWTH,2,0,0,0,0,0,0
05,BREVARD,1028,DEVEREUX HOSPITAL,22,4,2,0,0,0,0
05,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,14,5,0,0,0,0,0
05,BREVARD,1041,CAMBRIDGE ELEMENTARY MAGNET SCHOOL,40,3,3,0,0,1,1
05,BREVARD,1051,ENDEAVOUR ELEMENTARY SCHOOL,35,13,9,0,0,0,1
05,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCHOOL,33,10,2,0,0,0,3
05,BREVARD,1073,PROJECT SEARCH,4,1,0,0,0,0,0
05,BREVARD,1081,RONALD MCNAIR MAGNET MIDDLE SCHOOL,20,4,2,0,0,0,2
05,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,46,3,2,0,0,0,1
05,BREVARD,1101,JOHN F. KENNEDY MIDDLE SCHOOL,34,1,2,0,0,0,0
05,BREVARD,1121,COCOA HIGH SCHOOL,73,6,12,0,0,0,3
05,BREVARD,1131,SATURN ELEMENTARY SCHOOL,39,2,6,0,0,0,3
05,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,41,3,0,1,0,0,1
05,BREVARD,1151,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,37,2,5,1,0,0,1
05,BREVARD,1161,MANATEE ELEMENTARY SCHOOL,46,1,6,0,0,0,1
05,BREVARD,1171,VIERA HIGH SCHOOL,83,2,8,0,0,0,3
05,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL,95,2,8,1,0,0,3
05,BREVARD,2021,PALM BAY MAGNET SENIOR HIGH SCHOOL,73,5,4,1,0,0,2
05,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,65,0,0,0,0,0,0
05,BREVARD,2041,MEADOWLANE PRIMARY ELEMENTARY SCHOOL,52,0,3,1,1,0,0
05,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,33,1,1,0,1,0,0
05,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCHOOL,38,2,5,0,0,0,0
05,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,43,6,5,0,0,0,0
05,BREVARD,2071,STONE MAGNET MIDDLE SCHOOL,33,11,3,0,0,0,0
05,BREVARD,2072,SOUTH AREA ADULT EDUCATION-DAY PROGRAM,1,0,0,0,0,0,0
05,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,47,5,5,0,0,0,2
05,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,44,3,5,1,0,0,1
05,BREVARD,2121,"JOHN F. TURNER, SENIOR ELEMENTARY  SCHOOL",45,2,3,0,0,0,0
05,BREVARD,2122,SOUTHWEST MIDDLE SCHOOL,41,7,1,0,0,0,1
